provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
middesk,mcc_code,0742,Veterinary Services (MCC),business_classification_context,business,business,low,neutral,false,false,0742,,,active,Veterinary Services
middesk,mcc_code,0763,Agricultural Cooperative (MCC),business_classification_context,business,business,low,neutral,false,false,0763,,,active,Agricultural Cooperative
middesk,mcc_code,0780,Landscaping Services (MCC),business_classification_context,business,business,low,neutral,false,false,0780,,,active,Landscaping Services
middesk,mcc_code,1520,General Services (MCC),business_classification_context,business,business,low,neutral,false,false,1520,,,active,General Services
middesk,mcc_code,1711,"Heating, Plumbing, A/C (MCC)",business_classification_context,business,business,low,neutral,false,false,1711,,,active,"Heating, Plumbing, A/C"
middesk,mcc_code,1731,Electrical Services (MCC),business_classification_context,business,business,low,neutral,false,false,1731,,,active,Electrical Services
middesk,mcc_code,1740,"Masonry, Stonework, and Plaster (MCC)",business_classification_context,business,business,low,neutral,false,false,1740,,,active,"Masonry, Stonework, and Plaster"
middesk,mcc_code,1750,Carpentry Services (MCC),business_classification_context,business,business,low,neutral,false,false,1750,,,active,Carpentry Services
middesk,mcc_code,1761,"Roofing/Siding, Sheet Metal (MCC)",business_classification_context,business,business,low,neutral,false,false,1761,,,active,"Roofing/Siding, Sheet Metal"
middesk,mcc_code,1771,Concrete Work Services (MCC),business_classification_context,business,business,low,neutral,false,false,1771,,,active,Concrete Work Services
middesk,mcc_code,1799,Special Trade Services (MCC),business_classification_context,business,business,low,neutral,false,false,1799,,,active,Special Trade Services
middesk,mcc_code,2741,Miscellaneous Publishing and Printing (MCC),business_classification_context,business,business,low,neutral,false,false,2741,,,active,Miscellaneous Publishing and Printing
middesk,mcc_code,2791,"Typesetting, Plate Making, and Related Services (MCC)",business_classification_context,business,business,low,neutral,false,false,2791,,,active,"Typesetting, Plate Making, and Related Services"
middesk,mcc_code,2842,Specialty Cleaning (MCC),business_classification_context,business,business,low,neutral,false,false,2842,,,active,Specialty Cleaning
middesk,mcc_code,4011,Railroads (MCC),business_classification_context,business,business,low,neutral,false,false,4011,,,active,Railroads
middesk,mcc_code,4111,"Commuter Transport, Ferries (MCC)",business_classification_context,business,business,low,neutral,false,false,4111,,,active,"Commuter Transport, Ferries"
middesk,mcc_code,4112,Passenger Railways (MCC),business_classification_context,business,business,low,neutral,false,false,4112,,,active,Passenger Railways
middesk,mcc_code,4119,Ambulance Services (MCC),business_classification_context,business,business,low,neutral,false,false,4119,,,active,Ambulance Services
middesk,mcc_code,4121,Taxicabs/Limousines (MCC),business_classification_context,business,business,low,neutral,false,false,4121,,,active,Taxicabs/Limousines
middesk,mcc_code,4131,Bus Lines (MCC),business_classification_context,business,business,low,neutral,false,false,4131,,,active,Bus Lines
middesk,mcc_code,4214,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services (MCC)",business_classification_context,business,business,low,neutral,false,false,4214,,,active,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services"
middesk,mcc_code,4215,Courier Services (MCC),business_classification_context,business,business,low,neutral,false,false,4215,,,active,Courier Services
middesk,mcc_code,4225,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage (MCC)",business_classification_context,business,business,low,neutral,false,false,4225,,,active,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage"
