reason_code_id,code,description,service_name,service_internal_name,service_id,middesk_bucket
12867,0742,Veterinary Services (MCC),Middesk,Middesk,641,mcc
12589,0763,Agricultural Cooperative (MCC),Middesk,Middesk,641,mcc
12747,0780,Landscaping Services (MCC),Middesk,Middesk,641,mcc
12720,1520,General Services (MCC),Middesk,Middesk,641,mcc
12735,1711,"Heating, Plumbing, A/C (MCC)",Middesk,Middesk,641,mcc
12698,1731,Electrical Services (MCC),Middesk,Middesk,641,mcc
12756,1740,"Masonry, Stonework, and Plaster (MCC)",Middesk,Middesk,641,mcc
12631,1750,Carpentry Services (MCC),Middesk,Middesk,641,mcc
12820,1761,"Roofing/Siding, Sheet Metal (MCC)",Middesk,Middesk,641,mcc
12654,1771,Concrete Work Services (MCC),Middesk,Middesk,641,mcc
12829,1799,Special Trade Services (MCC),Middesk,Middesk,641,mcc
12772,2741,Miscellaneous Publishing and Printing (MCC),Middesk,Middesk,641,mcc
12860,2791,"Typesetting, Plate Making, and Related Services (MCC)",Middesk,Middesk,641,mcc
12830,2842,Specialty Cleaning (MCC),Middesk,Middesk,641,mcc
12814,4011,Railroads (MCC),Middesk,Middesk,641,mcc
12648,4111,"Commuter Transport, Ferries (MCC)",Middesk,Middesk,641,mcc
12798,4112,Passenger Railways (MCC),Middesk,Middesk,641,mcc
12592,4119,Ambulance Services (MCC),Middesk,Middesk,641,mcc
12843,4121,Taxicabs/Limousines (MCC),Middesk,Middesk,641,mcc
12621,4131,Bus Lines (MCC),Middesk,Middesk,641,mcc
12778,4214,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services (MCC)",Middesk,Middesk,641,mcc
12661,4215,Courier Services (MCC),Middesk,Middesk,641,mcc
12812,4225,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage (MCC)",Middesk,Middesk,641,mcc
11506,4411,Automobile Dealers (MCC),Middesk,Middesk,641,mcc
12664,4411,Cruise Lines (MCC),Middesk,Middesk,641,mcc
12617,4457,Boat Rentals and Leases (MCC),Middesk,Middesk,641,mcc
