reason_code_id,code,description,service_name,service_internal_name,service_id
2297,010,Fictitious Name or Address,ID Analytics ID Score,IDAnalyticsIDScore,34
2302,018,Consumers asserted age less than 18,ID Analytics ID Score,IDAnalyticsIDScore,34
2299,088,Suspected frivolous input,ID Analytics ID Score,IDAnalyticsIDScore,34
2307,153,Address match to list of business or commercial addresses,ID Analytics ID Score,IDAnalyticsIDScore,34
2304,157,Address match to list of prison addresses,ID Analytics ID Score,IDAnalyticsIDScore,34
2305,163,Address match to list of Post Office or private Mail box facility,ID Analytics ID Score,IDAnalyticsIDScore,34
2306,166,Address is a campground or trailer park,ID Analytics ID Score,IDAnalyticsIDScore,34
2229,180,EVENT - Application received through known risky channel,ID Analytics ID Score,IDAnalyticsIDScore,34
2301,230,SSN likely invalid,ID Analytics ID Score,IDAnalyticsIDScore,34
2294,232,SSN Reported as Deceased,ID Analytics ID Score,IDAnalyticsIDScore,34
2300,233,SSN likely issued before DOB,ID Analytics ID Score,IDAnalyticsIDScore,34
2230,238,SSN associated with risk,ID Analytics ID Score,IDAnalyticsIDScore,34
2293,248,"SSN, Name and DOB reported as Deceased",ID Analytics ID Score,IDAnalyticsIDScore,34
2231,321,EVENT - Home phone number invalid or missing,ID Analytics ID Score,IDAnalyticsIDScore,34
2232,483,Distance between address and area code of phone number,ID Analytics ID Score,IDAnalyticsIDScore,34
2233,498,Address associated with confirmed fraud,ID Analytics ID Score,IDAnalyticsIDScore,34
2234,499,Unusual number of SSNs associated with this identity,ID Analytics ID Score,IDAnalyticsIDScore,34
2235,500,SSN associated with suspected or confirmed fraud,ID Analytics ID Score,IDAnalyticsIDScore,34
9204,503,SSN linked to unusual number of addresses,ID Analytics ID Score,IDAnalyticsIDScore,34
2236,504,SSN linked to unusual number of home phone numbers,ID Analytics ID Score,IDAnalyticsIDScore,34
2237,506,High number of historic applications using SSN,ID Analytics ID Score,IDAnalyticsIDScore,34
2238,507,High number of recent applications using SSN,ID Analytics ID Score,IDAnalyticsIDScore,34
2239,510,NETWORK - Unable to confirm SSN in association with other identity elements,ID Analytics ID Score,IDAnalyticsIDScore,34
2240,514,SSN linked to unusual number of dates of birth,ID Analytics ID Score,IDAnalyticsIDScore,34
9205,516,Associated with unusual activity or frauds reported to the ID Network,ID Analytics ID Score,IDAnalyticsIDScore,34
2241,520,Address associated with suspected or confirmed fraud,ID Analytics ID Score,IDAnalyticsIDScore,34
2242,524,Address type is generally associated with high risk,ID Analytics ID Score,IDAnalyticsIDScore,34
9206,526,High number of historic applications using address,ID Analytics ID Score,IDAnalyticsIDScore,34
2243,539,Historic usage patterns of address are generally associated with high risk,ID Analytics ID Score,IDAnalyticsIDScore,34
