reason_code_id,code,description,service_name,service_internal_name,service_id
4010,creditvisionbankruptcyscore-000,No adverse factors,TransUnion Credit,TransUnionCredit,706
4011,creditvisionbankruptcyscore-001,Available credit on bankcard accounts is too low,TransUnion Credit,TransUnionCredit,706
4012,creditvisionbankruptcyscore-006,Bankcard account balances are too high in proportion to credit limits,TransUnion Credit,TransUnionCredit,706
4013,creditvisionbankruptcyscore-010,Too many delinquencies,TransUnion Credit,TransUnionCredit,706
4014,creditvisionbankruptcyscore-013,Revolving account balances are too high in proportion to credit limits,TransUnion Credit,TransUnionCredit,706
4015,creditvisionbankruptcyscore-015,Number of satisfactory accounts is too low in proportion to total number of accounts,TransUnion Credit,TransUnionCredit,706
4016,creditvisionbankruptcyscore-020,Length of time revolving accounts have been established is too short,TransUnion Credit,TransUnionCredit,706
4017,creditvisionbankruptcyscore-022,Too many inquiries,TransUnion Credit,TransUnionCredit,706
4018,creditvisionbankruptcyscore-023,Months since most recent delinquency,TransUnion Credit,TransUnionCredit,706
4019,creditvisionbankruptcyscore-024,Too many serious delinquencies,TransUnion Credit,TransUnionCredit,706
4020,creditvisionbankruptcyscore-025,Months since most recent serious delinquency is too short,TransUnion Credit,TransUnionCredit,706
4021,creditvisionbankruptcyscore-026,Number of delinquent accounts is too high in proportion to total number of accounts,TransUnion Credit,TransUnionCredit,706
4022,creditvisionbankruptcyscore-029,Retail account balances are too high in proportion to credit limits,TransUnion Credit,TransUnionCredit,706
4023,creditvisionbankruptcyscore-031,Revolving account balances are too high in proportion to credit limits,TransUnion Credit,TransUnionCredit,706
4024,creditvisionbankruptcyscore-032,Not enough revolving debt experience,TransUnion Credit,TransUnionCredit,706
4025,creditvisionbankruptcyscore-035,Length of time accounts have been established is too short,TransUnion Credit,TransUnionCredit,706
4026,creditvisionbankruptcyscore-037,Too few bankcard accounts,TransUnion Credit,TransUnionCredit,706
4027,creditvisionbankruptcyscore-043,Too few open revolving accounts,TransUnion Credit,TransUnionCredit,706
4028,creditvisionbankruptcyscore-048,Too few active mortgage accounts,TransUnion Credit,TransUnionCredit,706
4029,creditvisionbankruptcyscore-050,Too many accounts with a balance,TransUnion Credit,TransUnionCredit,706
4030,creditvisionbankruptcyscore-053,Too many derogatory accounts or public records,TransUnion Credit,TransUnionCredit,706
4031,creditvisionbankruptcyscore-054,Too many finance installment accounts,TransUnion Credit,TransUnionCredit,706
4032,creditvisionbankruptcyscore-060,Too many recent mortgage delinquencies,TransUnion Credit,TransUnionCredit,706
4033,creditvisionbankruptcyscore-066,Too many serious derogatory items,TransUnion Credit,TransUnionCredit,706
4034,creditvisionbankruptcyscore-069,Not enough debt experience,TransUnion Credit,TransUnionCredit,706
4035,creditvisionbankruptcyscore-071,Too many bankcard accounts with balances,TransUnion Credit,TransUnionCredit,706
4036,creditvisionbankruptcyscore-073,Not enough mortgage debt experience,TransUnion Credit,TransUnionCredit,706
4037,creditvisionbankruptcyscore-076,Total amount past due is too high,TransUnion Credit,TransUnionCredit,706
4038,creditvisionbankruptcyscore-079,Too few bank revolving accounts,TransUnion Credit,TransUnionCredit,706
4039,creditvisionbankruptcyscore-080,Too many accounts with a balance currently past due,TransUnion Credit,TransUnionCredit,706
4040,creditvisionbankruptcyscore-081,Length of time since most recent derogatory public record is too short,TransUnion Credit,TransUnionCredit,706
4041,creditvisionbankruptcyscore-083,Total balance of revolving accounts is too high,TransUnion Credit,TransUnionCredit,706
4042,creditvisionbankruptcyscore-088,Length of time since most recent mortgage account delinquency is too short,TransUnion Credit,TransUnionCredit,706
4043,creditvisionbankruptcyscore-093,Length of time since oldest mortgage account has been established is too short,TransUnion Credit,TransUnionCredit,706
4044,creditvisionbankruptcyscore-097,Bank revolving account balances are too high in proportion to credit limits,TransUnion Credit,TransUnionCredit,706
4045,creditvisionbankruptcyscore-099,Too many revolving accounts with balances too high in proportion to credit limits,TransUnion Credit,TransUnionCredit,706
4046,creditvisionbankruptcyscore-101,Total balance of finance installment accounts is too high,TransUnion Credit,TransUnionCredit,706
4047,creditvisionbankruptcyscore-103,Not enough available credit,TransUnion Credit,TransUnionCredit,706
4048,creditvisionbankruptcyscore-105,Too few revolving accounts,TransUnion Credit,TransUnionCredit,706
4049,creditvisionbankruptcyscore-111,Not enough bankcard debt experience,TransUnion Credit,TransUnionCredit,706
4050,creditvisionbankruptcyscore-117,Length of time since most seriously delinquent account has been established is too short,TransUnion Credit,TransUnionCredit,706
4051,creditvisionbankruptcyscore-119,Total balance of bankcard accounts is too high,TransUnion Credit,TransUnionCredit,706
4052,creditvisionbankruptcyscore-132,Too few open accounts,TransUnion Credit,TransUnionCredit,706
4053,creditvisionbankruptcyscore-135,Too many finance or installment accounts,TransUnion Credit,TransUnionCredit,706
4054,creditvisionbankruptcyscore-136,Too many revolving accounts,TransUnion Credit,TransUnionCredit,706
4055,creditvisionbankruptcyscore-141,Too few accounts recently updated,TransUnion Credit,TransUnionCredit,706
4056,creditvisionbankruptcyscore-142,Not enough balance decreases on active non-mortgage accounts,TransUnion Credit,TransUnionCredit,706
4057,creditvisionbankruptcyscore-143,Not enough balance decreases on mortgage trades,TransUnion Credit,TransUnionCredit,706
4058,creditvisionbankruptcyscore-144,Change of indebtedness or too many balance increases on non-mortgage accounts,TransUnion Credit,TransUnionCredit,706
4059,creditvisionbankruptcyscore-145,Total balance are too high in proportion to credit limits on mature mortgage trades,TransUnion Credit,TransUnionCredit,706
4060,creditvisionbankruptcyscore-148,Ratio of payment to minimum obligation on revolving accounts,TransUnion Credit,TransUnionCredit,706
4061,creditvisionbankruptcyscore-150,Insufficient credit activity on revolving accounts,TransUnion Credit,TransUnionCredit,706
4062,creditvisionbankruptcyscore-151,Ratio of payment to minimum obligation on bankcard accounts,TransUnion Credit,TransUnionCredit,706
4063,creditvisionbankruptcyscore-152,Insufficient credit activity on bankcard accounts,TransUnion Credit,TransUnionCredit,706
4064,creditvisionbankruptcyscore-155,Recency of max aggregate bankcard balance over the last year,TransUnion Credit,TransUnionCredit,706
4065,creditvisionbankruptcyscore-164,Too few non-mortgage trades,TransUnion Credit,TransUnionCredit,706
4066,creditvisionbankruptcyscore-166,Too many bankcard balance shifts in recent months,TransUnion Credit,TransUnionCredit,706
4067,creditvisionbankruptcyscore-167,Too high max aggregate bankcard utilization over the last quarter,TransUnion Credit,TransUnionCredit,706
4068,creditvisionbankruptcyscore-174,Too few open bankcard accounts,TransUnion Credit,TransUnionCredit,706
4069,creditvisionbankruptcyscore-175,Length of time since oldest bankcard account has been established is too short,TransUnion Credit,TransUnionCredit,706
4070,creditvisionbankruptcyscore-179,Too many recently opened finance installment trades,TransUnion Credit,TransUnionCredit,706
4071,creditvisionbankruptcyscore-180,Too many consecutive occurrences of bankcard past due amounts,TransUnion Credit,TransUnionCredit,706
4072,creditvisionbankruptcyscore-181,High recent balance range relative to previous balance range,TransUnion Credit,TransUnionCredit,706
4073,creditvisionbankruptcyscore-182,Monthly obligations are too high,TransUnion Credit,TransUnionCredit,706
4074,creditvisionbankruptcyscore-183,Total balance of bank revolving accounts is too high,TransUnion Credit,TransUnionCredit,706
4075,creditvisionbankruptcyscore-184,Length of time most recent bank revolving account has been established is too short,TransUnion Credit,TransUnionCredit,706
5145,ficoscore8-000,NO ADVERSE FACTOR,TransUnion Credit,TransUnionCredit,706
5146,ficoscore8-001,AMOUNT OWED ON ACCOUNTS IS TOO HIGH,TransUnion Credit,TransUnionCredit,706
5147,ficoscore8-002,LEVEL OF DELINQUENCY ON ACCOUNTS,TransUnion Credit,TransUnionCredit,706
5148,ficoscore8-003,PROPORTION OF LOAN BALANCES TO LOAN AMOUNTS IS TOO HIGH,TransUnion Credit,TransUnionCredit,706
5149,ficoscore8-004,LACK OF RECENT INSTALLMENT LOAN INFORMATION,TransUnion Credit,TransUnionCredit,706
5150,ficoscore8-005,TOO MANY ACCOUNTS WITH BALANCES,TransUnion Credit,TransUnionCredit,706
5151,ficoscore8-006,TOO MANY CONSUMER FINANCE COMPANY ACCOUNTS,TransUnion Credit,TransUnionCredit,706
5152,ficoscore8-007,ACCOUNT PAYMENT HISTORY TOO NEW TO RATE,TransUnion Credit,TransUnionCredit,706
5153,ficoscore8-008,TOO MANY INQUIRIES LAST 12 MONTHS,TransUnion Credit,TransUnionCredit,706
5154,ficoscore8-009,TOO MANY ACCOUNTS RECENTLY OPENED,TransUnion Credit,TransUnionCredit,706
5155,ficoscore8-010,PROPORTION OF BALANCES TO CREDIT LIMITS IS TOO HIGH ON BANK REVOLVING OR OTHER REVOLVING ACCOUNTS,TransUnion Credit,TransUnionCredit,706
5156,ficoscore8-011,AMOUNT OWED ON REVOLVING ACCOUNTS IS TOO HIGH,TransUnion Credit,TransUnionCredit,706
5157,ficoscore8-012,LENGTH OF TIME REVOLVING ACCOUNTS HAVE BEEN ESTABLISHED,TransUnion Credit,TransUnionCredit,706
5158,ficoscore8-013,TIME SINCE DELINQUENCY IS TOO RECENT OR UNKNOWN,TransUnion Credit,TransUnionCredit,706
5159,ficoscore8-014,LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED,TransUnion Credit,TransUnionCredit,706
5160,ficoscore8-015,LACK OF RECENT BANK REVOLVING INFORMATION,TransUnion Credit,TransUnionCredit,706
5161,ficoscore8-016,LACK OF RECENT REVOLVING ACCOUNT INFORMATION,TransUnion Credit,TransUnionCredit,706
5162,ficoscore8-017,NO RECENT NON-MORTGAGE BALANCE INFORMATION,TransUnion Credit,TransUnionCredit,706
5163,ficoscore8-018,NUMBER OF ACCOUNTS WITH DELINQUENCY,TransUnion Credit,TransUnionCredit,706
5164,ficoscore8-019,DATE OF LAST INQUIRY TOO RECENT,TransUnion Credit,TransUnionCredit,706
5165,ficoscore8-020,LENGTH OF TIME SINCE DEROGATORY PUBLIC RECORD OR COLLECTION IS TOO SHORT,TransUnion Credit,TransUnionCredit,706
5166,ficoscore8-021,AMOUNT PAST DUE ON ACCOUNTS,TransUnion Credit,TransUnionCredit,706
